#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1999,11,2.62,4.01,5.40,6.79,8.18,9.57,10.96,12.35
1999,12,7.08,8.12,9.16,10.19,11.23,12.27,13.31,14.35
2000,1,9.46,10.41,11.36,12.31,13.27,14.22,15.17,16.12
2000,2,10.04,10.67,11.30,11.93,12.56,13.19,13.82,14.45
2000,3,8.42,9.06,9.71,10.36,11.00,11.65,12.30,12.94
2000,4,4.71,5.49,6.27,7.05,7.83,8.61,9.39,10.17
2000,5,-0.30,0.56,1.42,2.28,3.14,4.00,4.85,5.71
2000,6,-2.96,-2.07,-1.17,-0.28,0.61,1.51,2.40,3.30
2000,7,-3.17,-2.46,-1.75,-1.04,-0.33,0.38,1.09,1.80
2000,8,-4.09,-2.92,-1.75,-0.58,0.60,1.77,2.94,4.12
2000,9,-2.75,-1.44,-0.13,1.18,2.49,3.80,5.11,6.42
2000,10,0.84,1.97,3.09,4.22,5.34,6.47,7.60,8.72
2000,11,2.38,3.65,4.91,6.18,7.44,8.70,9.97,11.23
2000,12,7.45,8.54,9.63,10.72,11.82,12.91,14.00,15.10
2001,1,9.65,10.62,11.59,12.56,13.52,14.49,15.46,16.43
2001,2,10.67,11.34,12.01,12.68,13.35,14.02,14.69,15.36
2001,3,8.47,9.12,9.77,10.42,11.07,11.72,12.37,13.02
2001,4,4.74,5.53,6.31,7.10,7.89,8.67,9.46,10.24
2001,5,-0.35,0.67,1.70,2.72,3.75,4.78,5.80,6.83
2001,6,-3.44,-2.40,-1.36,-0.33,0.71,1.75,2.79,3.83
2001,7,-4.61,-3.58,-2.55,-1.51,-0.48,0.56,1.59,2.62
2001,8,-3.93,-2.80,-1.68,-0.55,0.57,1.70,2.82,3.95
2001,9,-2.52,-1.32,-0.12,1.08,2.27,3.47,4.67,5.86
2001,10,0.89,2.08,3.28,4.47,5.67,6.86,8.06,9.25
2001,11,2.47,3.78,5.09,6.41,7.72,9.03,10.34,11.65
2001,12,6.30,7.23,8.15,9.08,10.00,10.93,11.85,12.78
2002,1,9.55,10.51,11.47,12.44,13.40,14.36,15.32,16.28
2002,2,10.67,11.34,12.01,12.68,13.35,14.02,14.69,15.36
2002,3,9.92,10.68,11.44,12.20,12.96,13.72,14.48,15.25
2002,4,5.06,5.90,6.74,7.57,8.41,9.25,10.09,10.93
2002,5,-0.41,0.78,1.98,3.17,4.36,5.56,6.75,7.95
2002,6,-3.76,-2.63,-1.49,-0.36,0.78,1.92,3.05,4.19
2002,7,-5.57,-4.32,-3.07,-1.83,-0.58,0.67,1.92,3.17
2002,8,-3.93,-2.80,-1.68,-0.55,0.57,1.70,2.82,3.95
2002,9,-2.09,-1.10,-0.10,0.89,1.89,2.88,3.87,4.87
2002,10,0.93,2.19,3.44,4.70,5.95,7.21,8.46,9.72
2002,11,2.63,4.03,5.43,6.83,8.22,9.62,11.02,12.42
2002,12,7.15,8.20,9.25,10.30,11.35,12.40,13.45,14.50
2003,1,9.37,10.31,11.25,12.19,13.14,14.08,15.02,15.96
2003,2,11.59,12.31,13.04,13.77,14.49,15.22,15.94,16.67
2003,3,8.68,9.34,10.01,10.68,11.34,12.01,12.67,13.34
2003,4,4.43,5.16,5.89,6.63,7.36,8.09,8.83,9.56
2003,5,-0.36,0.69,1.74,2.80,3.85,4.91,5.96,7.02
2003,6,-2.36,-1.65,-0.94,-0.22,0.49,1.20,1.92,2.63
2003,7,-5.09,-3.95,-2.81,-1.67,-0.53,0.61,1.75,2.89
2003,8,-3.71,-2.65,-1.59,-0.52,0.54,1.61,2.67,3.73
2003,9,-2.30,-1.21,-0.11,0.98,2.08,3.18,4.27,5.37
2003,10,0.76,1.79,2.81,3.83,4.86,5.88,6.91,7.93
2003,11,2.23,3.42,4.61,5.79,6.98,8.16,9.35,10.53
2003,12,6.41,7.36,8.30,9.24,10.18,11.12,12.06,13.00
2004,1,8.63,9.50,10.37,11.23,12.10,12.97,13.84,14.70
2004,2,11.30,12.01,12.72,13.43,14.13,14.84,15.55,16.26
2004,3,8.73,9.40,10.07,10.74,11.41,12.08,12.75,13.42
2004,4,4.43,5.16,5.89,6.63,7.36,8.09,8.83,9.56
2004,5,-0.26,0.50,1.27,2.03,2.80,3.56,4.33,5.09
2004,6,-3.16,-2.21,-1.25,-0.30,0.66,1.61,2.57,3.52
2004,7,-4.49,-3.49,-2.48,-1.47,-0.47,0.54,1.55,2.55
2004,8,-3.84,-2.74,-1.64,-0.54,0.56,1.66,2.76,3.86
2004,9,-2.21,-1.16,-0.11,0.94,1.99,3.04,4.10,5.15
2004,10,0.88,2.05,3.23,4.41,5.59,6.77,7.94,9.12
2004,11,2.40,3.67,4.94,6.21,7.49,8.76,10.03,11.30
2004,12,7.08,8.12,9.16,10.19,11.23,12.27,13.31,14.35
2005,1,8.72,9.60,10.48,11.35,12.23,13.11,13.98,14.86
2005,2,10.62,11.28,11.95,12.61,13.28,13.94,14.61,15.27
2005,3,8.73,9.40,10.07,10.74,11.41,12.08,12.75,13.42
2005,4,4.32,5.04,5.75,6.47,7.18,7.90,8.62,9.33
2005,5,-0.35,0.67,1.70,2.72,3.75,4.78,5.80,6.83
2005,6,-2.88,-2.01,-1.14,-0.27,0.60,1.47,2.34,3.21
2005,7,-3.65,-2.84,-2.02,-1.20,-0.38,0.44,1.26,2.08
2005,8,-3.88,-2.77,-1.66,-0.55,0.57,1.68,2.79,3.90
2005,9,-2.33,-1.22,-0.11,0.99,2.10,3.21,4.32,5.42
2005,10,0.82,1.92,3.02,4.12,5.22,6.32,7.43,8.53
2005,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
2005,12,6.67,7.65,8.63,9.61,10.59,11.57,12.55,13.53
2006,1,9.74,10.72,11.70,12.68,13.65,14.63,15.61,16.59
2006,2,10.56,11.22,11.88,12.54,13.21,13.87,14.53,15.19
2006,3,7.85,8.45,9.06,9.66,10.26,10.86,11.47,12.07
2006,4,5.31,6.18,7.06,7.94,8.82,9.70,10.58,11.46
2006,5,-0.36,0.68,1.71,2.75,3.78,4.82,5.86,6.89
2006,6,-2.96,-2.07,-1.17,-0.28,0.61,1.51,2.40,3.30
2006,7,-3.83,-2.97,-2.12,-1.26,-0.40,0.46,1.32,2.18
2006,8,-3.84,-2.74,-1.64,-0.54,0.56,1.66,2.76,3.86
2006,9,-2.42,-1.27,-0.12,1.03,2.19,3.34,4.49,5.64
2006,10,0.92,2.16,3.40,4.63,5.87,7.11,8.35,9.58
2006,11,2.40,3.67,4.94,6.21,7.49,8.76,10.03,11.30
2006,12,6.78,7.78,8.77,9.77,10.76,11.76,12.76,13.75
2007,1,8.72,9.60,10.48,11.35,12.23,13.11,13.98,14.86
2007,2,9.53,10.13,10.73,11.32,11.92,12.52,13.12,13.71
2007,3,7.23,7.79,8.34,8.90,9.45,10.01,10.56,11.12
2007,4,4.36,5.08,5.80,6.52,7.24,7.96,8.69,9.41
2007,5,-0.35,0.66,1.67,2.68,3.68,4.69,5.70,6.71
2007,6,-3.52,-2.46,-1.40,-0.33,0.73,1.79,2.86,3.92
2007,7,-5.21,-4.04,-2.88,-1.71,-0.54,0.63,1.79,2.96
2007,8,-3.97,-2.83,-1.69,-0.56,0.58,1.72,2.85,3.99
2007,9,-2.83,-1.48,-0.14,1.21,2.55,3.90,5.24,6.58
2007,10,0.88,2.05,3.23,4.41,5.59,6.77,7.94,9.12
2007,11,2.38,3.65,4.91,6.18,7.44,8.70,9.97,11.23
2007,12,6.82,7.82,8.82,9.82,10.82,11.82,12.83,13.83
2008,1,9.55,10.51,11.47,12.44,13.40,14.36,15.32,16.28
2008,2,11.19,11.89,12.59,13.29,13.99,14.69,15.39,16.10
2008,3,8.21,8.84,9.47,10.10,10.73,11.36,12.00,12.63
2008,4,4.50,5.24,5.99,6.73,7.48,8.22,8.97,9.71
2008,5,-0.34,0.65,1.65,2.65,3.65,4.65,5.64,6.64
2008,6,-3.16,-2.21,-1.25,-0.30,0.66,1.61,2.57,3.52
2008,7,-5.45,-4.23,-3.01,-1.79,-0.57,0.66,1.88,3.10
2008,8,-3.84,-2.74,-1.64,-0.54,0.56,1.66,2.76,3.86
2008,9,-2.21,-1.16,-0.11,0.94,1.99,3.04,4.10,5.15
2008,10,0.85,1.99,3.14,4.28,5.43,6.57,7.71,8.86
2008,11,2.37,3.62,4.88,6.14,7.39,8.65,9.91,11.16
2008,12,7.11,8.16,9.20,10.25,11.29,12.34,13.38,14.42
2009,1,9.32,10.26,11.20,12.13,13.07,14.01,14.95,15.88
2009,2,10.62,11.28,11.95,12.61,13.28,13.94,14.61,15.27
2009,3,8.99,9.68,10.37,11.06,11.75,12.44,13.13,13.82
2009,4,4.64,5.41,6.17,6.94,7.71,8.48,9.25,10.02
2009,5,-0.33,0.64,1.61,2.58,3.55,4.52,5.49,6.46
2009,6,-3.72,-2.60,-1.48,-0.35,0.77,1.90,3.02,4.14
2009,7,-1.38,-1.07,-0.76,-0.45,-0.14,0.17,0.47,0.78
2009,8,-4.14,-2.95,-1.77,-0.58,0.60,1.79,2.97,4.16
2009,9,-2.61,-1.37,-0.13,1.12,2.36,3.60,4.84,6.09
2009,10,0.90,2.10,3.30,4.51,5.71,6.91,8.12,9.32
2009,11,2.40,3.67,4.94,6.21,7.49,8.76,10.03,11.30
2009,12,7.11,8.16,9.20,10.25,11.29,12.34,13.38,14.42
2010,1,9.00,9.90,10.81,11.71,12.62,13.52,14.43,15.33
2010,2,10.96,11.65,12.33,13.02,13.71,14.39,15.08,15.77
2010,3,8.57,9.23,9.89,10.55,11.21,11.86,12.52,13.18
2010,4,5.76,6.72,7.67,8.63,9.58,10.53,11.49,12.44
2010,5,-0.31,0.58,1.47,2.35,3.24,4.13,5.01,5.90
2010,6,-2.76,-1.93,-1.09,-0.26,0.57,1.41,2.24,3.07
2010,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
2010,8,-3.59,-2.56,-1.53,-0.50,0.52,1.55,2.58,3.61
2010,9,-2.78,-1.46,-0.13,1.19,2.51,3.83,5.15,6.47
2010,10,0.81,1.89,2.97,4.06,5.14,6.23,7.31,8.39
2010,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
2010,12,6.93,7.95,8.96,9.98,11.00,12.02,13.03,14.05
2011,1,8.86,9.75,10.64,11.53,12.42,13.32,14.21,15.10
2011,2,11.47,12.19,12.91,13.63,14.35,15.07,15.79,16.51
2011,3,9.09,9.79,10.49,11.18,11.88,12.58,13.28,13.98
2011,4,5.13,5.98,6.83,7.68,8.53,9.38,10.23,11.08
2011,5,-0.38,0.72,1.81,2.90,3.99,5.08,6.17,7.26
2011,6,-2.60,-1.82,-1.03,-0.25,0.54,1.33,2.11,2.90
2011,7,-5.39,-4.18,-2.98,-1.77,-0.56,0.65,1.86,3.06
2011,8,-4.09,-2.92,-1.75,-0.58,0.60,1.77,2.94,4.12
2011,9,-2.26,-1.18,-0.11,0.96,2.04,3.11,4.18,5.26
2011,10,0.86,2.01,3.16,4.31,5.47,6.62,7.77,8.92
2011,11,2.26,3.47,4.67,5.87,7.07,8.27,9.47,10.67
2011,12,6.05,6.93,7.82,8.71,9.59,10.48,11.37,12.26
2012,1,7.62,8.38,9.15,9.91,10.68,11.44,12.21,12.97
2012,2,9.76,10.37,10.98,11.60,12.21,12.82,13.43,14.04
2012,3,8.06,8.68,9.29,9.91,10.53,11.15,11.77,12.39
2012,4,4.92,5.73,6.55,7.36,8.18,8.99,9.81,10.62
2012,5,-0.30,0.57,1.44,2.30,3.17,4.04,4.91,5.77
2012,6,-3.52,-2.46,-1.40,-0.33,0.73,1.79,2.86,3.92
2012,7,-2.04,-1.58,-1.12,-0.67,-0.21,0.25,0.70,1.16
2012,8,-4.09,-2.92,-1.75,-0.58,0.60,1.77,2.94,4.12
2012,9,-2.90,-1.52,-0.14,1.24,2.62,3.99,5.37,6.75
2012,10,0.81,1.89,2.97,4.06,5.14,6.23,7.31,8.39
2012,11,2.46,3.76,5.06,6.37,7.67,8.97,10.28,11.58
2012,12,7.04,8.07,9.11,10.14,11.17,12.21,13.24,14.27
2013,1,9.46,10.41,11.36,12.31,13.27,14.22,15.17,16.12
2013,2,10.79,11.46,12.14,12.82,13.49,14.17,14.84,15.52
2013,3,8.16,8.79,9.41,10.04,10.67,11.29,11.92,12.55
2013,4,4.99,5.82,6.64,7.47,8.29,9.12,9.95,10.77
2013,5,-0.39,0.75,1.88,3.02,4.16,5.30,6.44,7.57
2013,6,-3.20,-2.24,-1.27,-0.30,0.66,1.63,2.60,3.57
2013,7,-5.21,-4.04,-2.88,-1.71,-0.54,0.63,1.79,2.96
2013,8,-3.55,-2.53,-1.51,-0.50,0.52,1.53,2.55,3.56
2013,9,-2.52,-1.32,-0.12,1.08,2.27,3.47,4.67,5.86
2013,10,0.89,2.08,3.28,4.47,5.67,6.86,8.06,9.25
2013,11,2.56,3.92,5.28,6.64,7.99,9.35,10.71,12.07
2013,12,7.48,8.58,9.68,10.78,11.88,12.97,14.07,15.17
2014,1,10.02,11.02,12.03,13.04,14.04,15.05,16.06,17.06
2014,2,11.24,11.95,12.65,13.36,14.06,14.77,15.47,16.18
2014,3,8.78,9.45,10.13,10.80,11.48,12.15,12.83,13.50
2014,4,4.92,5.73,6.55,7.36,8.18,8.99,9.81,10.62
2014,5,-0.30,0.57,1.44,2.30,3.17,4.04,4.91,5.77
2014,6,-3.72,-2.60,-1.48,-0.35,0.77,1.90,3.02,4.14
2014,7,-5.39,-4.18,-2.98,-1.77,-0.56,0.65,1.86,3.06
2014,8,-3.97,-2.83,-1.69,-0.56,0.58,1.72,2.85,3.99
2014,9,-2.37,-1.24,-0.12,1.01,2.14,3.27,4.40,5.53
2014,10,0.79,1.85,2.90,3.96,5.02,6.08,7.14,8.20
2014,11,2.32,3.56,4.79,6.02,7.25,8.49,9.72,10.95
2014,12,6.97,7.99,9.01,10.03,11.06,12.08,13.10,14.12
2015,1,9.65,10.62,11.59,12.56,13.52,14.49,15.46,16.43
2015,2,11.07,11.77,12.46,13.16,13.85,14.54,15.24,15.93
2015,3,8.00,8.62,9.23,9.85,10.46,11.08,11.69,12.31
2015,4,5.20,6.06,6.92,7.78,8.65,9.51,10.37,11.23
2015,5,-0.36,0.68,1.71,2.75,3.78,4.82,5.86,6.89
2015,6,-3.92,-2.74,-1.55,-0.37,0.81,2.00,3.18,4.37
2015,7,-5.81,-4.51,-3.21,-1.90,-0.60,0.70,2.00,3.30
2015,8,-4.01,-2.86,-1.71,-0.56,0.59,1.73,2.88,4.03
2015,9,-2.35,-1.23,-0.11,1.00,2.12,3.24,4.36,5.48
2015,10,0.84,1.98,3.12,4.25,5.39,6.52,7.66,8.79
2015,11,2.19,3.35,4.51,5.68,6.84,8.00,9.16,10.33
2015,12,7.26,8.33,9.39,10.46,11.53,12.59,13.66,14.72
2016,1,9.74,10.72,11.70,12.68,13.65,14.63,15.61,16.59
2016,2,11.59,12.31,13.04,13.77,14.49,15.22,15.94,16.67
2016,3,8.21,8.84,9.47,10.10,10.73,11.36,12.00,12.63
2016,4,4.46,5.20,5.94,6.68,7.42,8.16,8.90,9.64
2016,5,-0.37,0.70,1.76,2.82,3.89,4.95,6.01,7.08
2016,6,-3.92,-2.74,-1.55,-0.37,0.81,2.00,3.18,4.37
2016,7,-5.93,-4.60,-3.27,-1.94,-0.62,0.71,2.04,3.37
2016,8,-4.39,-3.13,-1.87,-0.62,0.64,1.90,3.16,4.41
2016,9,-2.28,-1.19,-0.11,0.97,2.06,3.14,4.23,5.31
2016,10,0.79,1.86,2.93,3.99,5.06,6.13,7.19,8.26
2016,11,2.29,3.51,4.73,5.95,7.16,8.38,9.60,10.81
2016,12,6.89,7.90,8.92,9.93,10.94,11.95,12.96,13.98
2017,1,9.42,10.36,11.31,12.25,13.20,14.15,15.09,16.04
2017,2,10.33,10.98,11.63,12.27,12.92,13.57,14.22,14.86
2017,3,8.21,8.84,9.47,10.10,10.73,11.36,12.00,12.63
2017,4,4.85,5.65,6.46,7.26,8.06,8.86,9.67,10.47
2017,5,-0.37,0.70,1.78,2.85,3.92,4.99,6.07,7.14
2017,6,-3.60,-2.52,-1.43,-0.34,0.75,1.84,2.92,4.01
2017,7,-5.39,-4.18,-2.98,-1.77,-0.56,0.65,1.86,3.06
2017,8,-4.01,-2.86,-1.71,-0.56,0.59,1.73,2.88,4.03
2017,9,-2.92,-1.53,-0.14,1.25,2.64,4.03,5.42,6.81
2017,10,0.79,1.86,2.93,3.99,5.06,6.13,7.19,8.26
2017,11,2.49,3.81,5.12,6.44,7.76,9.08,10.40,11.72
2017,12,7.22,8.29,9.35,10.41,11.47,12.53,13.59,14.65
2018,1,9.55,10.51,11.47,12.44,13.40,14.36,15.32,16.28
2018,2,11.81,12.56,13.30,14.04,14.78,15.52,16.26,17.00
2018,3,8.42,9.06,9.71,10.36,11.00,11.65,12.30,12.94
2018,4,4.64,5.41,6.17,6.94,7.71,8.48,9.25,10.02
2018,5,-0.31,0.59,1.50,2.40,3.31,4.21,5.12,6.02
2018,6,-3.52,-2.46,-1.40,-0.33,0.73,1.79,2.86,3.92
2018,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
2018,8,-4.05,-2.89,-1.73,-0.57,0.59,1.75,2.91,4.07
2018,9,-2.71,-1.42,-0.13,1.16,2.44,3.73,5.02,6.31
2018,10,0.86,2.02,3.19,4.35,5.51,6.67,7.83,8.99
2018,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
2018,12,7.41,8.50,9.58,10.67,11.76,12.85,13.93,15.02
2019,1,8.95,9.85,10.75,11.65,12.55,13.45,14.35,15.25
2019,2,10.67,11.34,12.01,12.68,13.35,14.02,14.69,15.36
2019,3,9.30,10.01,10.72,11.44,12.15,12.87,13.58,14.29
2019,4,5.45,6.35,7.25,8.15,9.05,9.96,10.86,11.76
2019,5,-0.38,0.73,1.84,2.95,4.06,5.17,6.28,7.39
2019,6,-3.76,-2.63,-1.49,-0.36,0.78,1.92,3.05,4.19
2019,7,-5.39,-4.18,-2.98,-1.77,-0.56,0.65,1.86,3.06
2019,8,-3.88,-2.77,-1.66,-0.55,0.57,1.68,2.79,3.90
2019,9,-2.35,-1.23,-0.11,1.00,2.12,3.24,4.36,5.48
2019,10,0.86,2.02,3.19,4.35,5.51,6.67,7.83,8.99
2019,11,2.37,3.62,4.88,6.14,7.39,8.65,9.91,11.16
2019,12,6.93,7.95,8.96,9.98,11.00,12.02,13.03,14.05
2020,1,8.82,9.70,10.59,11.47,12.36,13.25,14.13,15.02
2020,2,10.67,11.34,12.01,12.68,13.35,14.02,14.69,15.36
2020,3,7.85,8.45,9.06,9.66,10.26,10.86,11.47,12.07
2020,4,5.06,5.90,6.74,7.57,8.41,9.25,10.09,10.93
2020,5,-0.39,0.75,1.88,3.02,4.16,5.30,6.44,7.57
2020,6,-4.72,-3.30,-1.87,-0.45,0.98,2.41,3.83,5.26
2020,7,-6.29,-4.88,-3.47,-2.06,-0.65,0.76,2.17,3.58
2020,8,-4.47,-3.19,-1.91,-0.63,0.65,1.93,3.22,4.50
2020,9,-2.99,-1.57,-0.14,1.28,2.70,4.12,5.55,6.97
2020,10,0.85,1.99,3.14,4.28,5.43,6.57,7.71,8.86
2020,11,2.40,3.67,4.94,6.21,7.49,8.76,10.03,11.30
2020,12,7.22,8.29,9.35,10.41,11.47,12.53,13.59,14.65
2021,1,9.51,10.46,11.42,12.38,13.33,14.29,15.24,16.20
2021,2,10.33,10.98,11.63,12.27,12.92,13.57,14.22,14.86
2021,3,9.19,9.90,10.60,11.31,12.02,12.72,13.43,14.13
2021,4,5.17,6.02,6.88,7.73,8.59,9.44,10.30,11.15
2021,5,-0.33,0.62,1.58,2.53,3.48,4.43,5.38,6.33
2021,6,-4.56,-3.19,-1.81,-0.43,0.95,2.32,3.70,5.08
2021,7,-5.45,-4.23,-3.01,-1.79,-0.57,0.66,1.88,3.10
2021,8,-3.59,-2.56,-1.53,-0.50,0.52,1.55,2.58,3.61
2021,9,-2.97,-1.56,-0.14,1.27,2.68,4.09,5.50,6.92
2021,10,0.88,2.05,3.23,4.41,5.59,6.77,7.94,9.12
2021,11,2.06,3.15,4.24,5.33,6.42,7.51,8.61,9.70
2021,12,6.64,7.61,8.58,9.56,10.53,11.50,12.48,13.45
2022,1,9.55,10.51,11.47,12.44,13.40,14.36,15.32,16.28
2022,2,11.36,12.07,12.78,13.49,14.21,14.92,15.63,16.34
2022,3,8.93,9.62,10.31,10.99,11.68,12.37,13.05,13.74
2022,4,5.38,6.27,7.16,8.05,8.94,9.83,10.72,11.61
2022,5,-0.36,0.69,1.74,2.80,3.85,4.91,5.96,7.02
2022,6,-4.64,-3.24,-1.84,-0.44,0.96,2.37,3.77,5.17
2022,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
2022,8,-4.09,-2.92,-1.75,-0.58,0.60,1.77,2.94,4.12
2022,9,-2.73,-1.43,-0.13,1.17,2.47,3.76,5.06,6.36
2022,10,0.91,2.14,3.37,4.60,5.83,7.06,8.29,9.52
2022,11,2.75,4.21,5.67,7.13,8.59,10.06,11.52,12.98
2022,12,6.67,7.65,8.63,9.61,10.59,11.57,12.55,13.53
2023,1,8.86,9.75,10.64,11.53,12.42,13.32,14.21,15.10
2023,2,11.19,11.89,12.59,13.29,13.99,14.69,15.39,16.10
2023,3,8.37,9.01,9.65,10.29,10.94,11.58,12.22,12.86
2023,4,5.24,6.10,6.97,7.84,8.70,9.57,10.44,11.31
2023,5,-0.43,0.82,2.07,3.32,4.57,5.82,7.07,8.32
2023,6,-3.64,-2.54,-1.44,-0.34,0.76,1.86,2.96,4.06
2023,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
2023,8,-3.46,-2.47,-1.48,-0.49,0.51,1.50,2.49,3.48
2023,9,-2.80,-1.47,-0.14,1.20,2.53,3.86,5.20,6.53
2023,10,0.87,2.04,3.21,4.38,5.55,6.72,7.89,9.05
2023,11,2.37,3.62,4.88,6.14,7.39,8.65,9.91,11.16
2023,12,7.11,8.16,9.20,10.25,11.29,12.34,13.38,14.42
2024,1,9.09,10.01,10.92,11.83,12.75,13.66,14.58,15.49
2024,2,10.96,11.65,12.33,13.02,13.71,14.39,15.08,15.77
2024,3,8.42,9.06,9.71,10.36,11.00,11.65,12.30,12.94
2024,4,4.92,5.73,6.55,7.36,8.18,8.99,9.81,10.62
2024,5,-0.41,0.78,1.96,3.15,4.33,5.52,6.70,7.88
2024,6,-4.64,-3.24,-1.84,-0.44,0.96,2.37,3.77,5.17
2024,7,-4.31,-3.35,-2.38,-1.41,-0.45,0.52,1.49,2.45
2024,8,-4.14,-2.95,-1.77,-0.58,0.60,1.79,2.97,4.16
2024,9,-3.54,-1.85,-0.17,1.51,3.19,4.88,6.56,8.24
2024,10,0.86,2.01,3.16,4.31,5.47,6.62,7.77,8.92
2024,11,2.43,3.71,5.00,6.29,7.58,8.87,10.15,11.44
2024,12,6.86,7.86,8.87,9.88,10.88,11.89,12.89,13.90
2025,1,10.20,11.23,12.25,13.28,14.30,15.33,16.35,17.38
2025,2,11.36,12.07,12.78,13.49,14.21,14.92,15.63,16.34
2025,3,8.57,9.23,9.89,10.55,11.21,11.86,12.52,13.18
2025,4,4.60,5.37,6.13,6.89,7.65,8.41,9.18,9.94
2025,5,-0.36,0.68,1.73,2.77,3.82,4.86,5.91,6.95
2025,6,-3.60,-2.52,-1.43,-0.34,0.75,1.84,2.92,4.01
2025,7,-5.63,-4.37,-3.11,-1.85,-0.58,0.68,1.94,3.20
2025,8,-4.05,-2.89,-1.73,-0.57,0.59,1.75,2.91,4.07
2025,9,-2.85,-1.49,-0.14,1.22,2.57,3.93,5.28,6.64
2025,10,0.84,1.97,3.09,4.22,5.34,6.47,7.60,8.72
2025,11,2.62,4.01,5.40,6.79,8.18,9.57,10.96,12.35
2025,12,7.19,8.24,9.30,10.35,11.41,12.46,13.52,14.57
2026,1,9.65,10.62,11.59,12.56,13.52,14.49,15.46,16.43
2026,2,11.87,12.62,13.36,14.10,14.85,15.59,16.34,17.08
2026,3,8.88,9.57,10.25,10.93,11.61,12.29,12.98,13.66
2026,4,4.46,5.20,5.94,6.68,7.42,8.16,8.90,9.64
2026,5,-0.38,0.72,1.82,2.92,4.02,5.12,6.23,7.33
2026,6,-4.12,-2.88,-1.63,-0.39,0.86,2.10,3.35,4.59
2026,7,1.32,1.02,0.73,0.43,0.14,-0.16,-0.45,-0.75
2026,8,-3.97,-2.83,-1.69,-0.56,0.58,1.72,2.85,3.99
2026,9,-2.78,-1.46,-0.13,1.19,2.51,3.83,5.15,6.47
2026,10,0.87,2.04,3.21,4.38,5.55,6.72,7.89,9.05
2026,11,2.41,3.69,4.97,6.25,7.53,8.81,10.09,11.37
2026,12,7.15,8.20,9.25,10.30,11.35,12.40,13.45,14.50
2027,1,10.02,11.02,12.03,13.04,14.04,15.05,16.06,17.06
2027,2,10.84,11.52,12.20,12.88,13.56,14.24,14.92,15.60
2027,3,8.47,9.12,9.77,10.42,11.07,11.72,12.37,13.02
2027,4,5.69,6.63,7.58,8.52,9.46,10.41,11.35,12.29
2027,5,-0.41,0.78,1.96,3.15,4.33,5.52,6.70,7.88
2027,6,-4.20,-2.93,-1.67,-0.40,0.87,2.14,3.41,4.68
2027,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
2027,8,-3.59,-2.56,-1.53,-0.50,0.52,1.55,2.58,3.61
2027,9,-2.64,-1.38,-0.13,1.13,2.38,3.63,4.89,6.14
2027,10,0.86,2.02,3.19,4.35,5.51,6.67,7.83,8.99
2027,11,2.23,3.42,4.61,5.79,6.98,8.16,9.35,10.53
2027,12,6.86,7.86,8.87,9.88,10.88,11.89,12.89,13.90
2028,1,9.00,9.90,10.81,11.71,12.62,13.52,14.43,15.33
2028,2,11.07,11.77,12.46,13.16,13.85,14.54,15.24,15.93
2028,3,9.35,10.07,10.78,11.50,12.22,12.94,13.65,14.37
2028,4,4.95,5.77,6.60,7.42,8.24,9.06,9.88,10.70
2028,5,-0.35,0.67,1.70,2.72,3.75,4.78,5.80,6.83
2028,6,-5.00,-3.49,-1.98,-0.47,1.04,2.55,4.06,5.57
2028,7,-5.93,-4.60,-3.27,-1.94,-0.62,0.71,2.04,3.37
2028,8,-4.47,-3.19,-1.91,-0.63,0.65,1.93,3.22,4.50
2028,9,-2.56,-1.34,-0.12,1.10,2.32,3.54,4.76,5.98
2028,10,0.80,1.88,2.95,4.03,5.10,6.18,7.25,8.33
2028,11,2.43,3.71,5.00,6.29,7.58,8.87,10.15,11.44
2028,12,7.08,8.12,9.16,10.19,11.23,12.27,13.31,14.35
2029,1,9.37,10.31,11.25,12.19,13.14,14.08,15.02,15.96
2029,2,10.33,10.98,11.63,12.27,12.92,13.57,14.22,14.86
2029,3,8.83,9.51,10.19,10.87,11.54,12.22,12.90,13.58
2029,4,4.25,4.96,5.66,6.36,7.07,7.77,8.48,9.18
2029,5,-0.32,0.61,1.53,2.45,3.38,4.30,5.22,6.15
2029,6,-4.96,-3.47,-1.97,-0.47,1.03,2.53,4.03,5.53
2029,7,-5.63,-4.37,-3.11,-1.85,-0.58,0.68,1.94,3.20
2029,8,-4.39,-3.13,-1.87,-0.62,0.64,1.90,3.16,4.41
2029,9,-2.71,-1.42,-0.13,1.16,2.44,3.73,5.02,6.31
